iter	RMSE
2610	0.08656125538
2611	0.08655699818
2612	0.08655676359
2613	0.0865527972
2614	0.08654157129
2615	0.08653715385
2616	0.08653553814
2617	0.0865260383
2618	0.08651670037
2619	0.08651102504
2620	0.08650611972
2621	0.08649295142
2622	0.08648882042
2623	0.08648856657
2624	0.08648591944
2625	0.08648041408
2626	0.08647290208
2627	0.08645430085
2628	0.08644912685
2629	0.08644887048
2630	0.08644219789
2631	0.08644029052
2632	0.08643691174
2633	0.08643427233
2634	0.08642886575
2635	0.08642701443
2636	0.08642372979
2637	0.08641702436
2638	0.08640676126
2639	0.08639724186
2640	0.08639359198
2641	0.08639254688
2642	0.08638310908
2643	0.08637583953
2644	0.08636180239
2645	0.08635583617
2646	0.08634400984
2647	0.08632812963
2648	0.08632415438
2649	0.08632203328
2650	0.08631047093
2651	0.08630695015
2652	0.08629632449
2653	0.08629190683
2654	0.08629161381
2655	0.0862871974
2656	0.08628274295
2657	0.08627081709
2658	0.08626687249
2659	0.08626163872
2660	0.08624951063
2661	0.08623217849
2662	0.08622227957
2663	0.08621012296
2664	0.0862054751
2665	0.08620021465
2666	0.0861999009
2667	0.08619150523
2668	0.0861907308
2669	0.08618238204
2670	0.08617285821
2671	0.08616391602
2672	0.08615613664
2673	0.08615398488
2674	0.086146532
2675	0.08614048052
2676	0.08612631747
2677	0.08612009347
2678	0.08611492632
2679	0.08611006045
2680	0.08609951218
2681	0.08609149092
2682	0.08608218405
2683	0.08605837748
2684	0.08605173138
2685	0.08603508726
2686	0.08603497385
2687	0.08602686086
2688	0.08602204582
2689	0.08601594907
2690	0.08601385238
2691	0.08600616586
2692	0.08600169262
2693	0.08598629333
2694	0.08597837819
2695	0.08596825539
2696	0.08595657915
2697	0.08594743313
2698	0.08594144763
2699	0.08592949839
2700	0.08592393203
2701	0.08591127868
2702	0.08591088768
2703	0.08589798723
2704	0.08588134218
2705	0.08587535104
2706	0.08586854966
2707	0.08585950508
2708	0.08585276275
2709	0.0858468658
2710	0.08583989702
2711	0.08583737028
2712	0.08582959542
2713	0.08582042185
2714	0.08581397915
2715	0.08581127078
2716	0.08580730779
2717	0.08580397001
2718	0.08580358913
2719	0.08579097137
2720	0.08577974813
2721	0.085771506
2722	0.08575955102
2723	0.08574905563
2724	0.0857484158
2725	0.08574077842
2726	0.08573130568
2727	0.08572433401
2728	0.08571009641
2729	0.08570807602
2730	0.08570329644
2731	0.08569156732
2732	0.08567991847
2733	0.08567575022
2734	0.08566120704
2735	0.08564772785
2736	0.08564073943
2737	0.08563123807
2738	0.08563088403
2739	0.08561948995
2740	0.08561273179
2741	0.08561202515
2742	0.08560069304
2743	0.08559969786
2744	0.08558692297
2745	0.08558147473
2746	0.08557326815
2747	0.0855727258
2748	0.08556371676
2749	0.08555811897
2750	0.08555091869
2751	0.08553810869
2752	0.08552752238
2753	0.08552338295
2754	0.08551655025
2755	0.08550930513
2756	0.08549660817
2757	0.08548966193
2758	0.08548598533
2759	0.0854802928
2760	0.08547562653
2761	0.08546423505
2762	0.08545770975
2763	0.08544249032
2764	0.08543412316
2765	0.08542936117
2766	0.08542322639
2767	0.08541257638
2768	0.08540576901
2769	0.08539060466
2770	0.0853859307
2771	0.08537332957
2772	0.08536513248
2773	0.08535657139
2774	0.08534715003
2775	0.08533429846
2776	0.08532364204
2777	0.08530360052
2778	0.0852967931
2779	0.08529079799
2780	0.0852834277
2781	0.08527418814
2782	0.08526839681
2783	0.08526237147
2784	0.08525445113
2785	0.08524763223
2786	0.0852381973
2787	0.08523779375
2788	0.08523206628
2789	0.08522907664
2790	0.08522303951
2791	0.08521646625
2792	0.08521066684
2793	0.085203393
2794	0.08519264528
2795	0.08518762077
2796	0.08517993634
